,0
0,Arkansas
1,Connecticut
2,Delaware
3,Iowa
4,Kansas
5,Maryland
6,Massachusetts
7,Minnesota
8,Missouri
9,Nebraska
10,New Hampshire
11,New Jersey
12,Oklahoma
13,Pennsylvania
14,Tennessee
15,Vermont
